006150148;2018;DI;38324;
006150148;2018;FJ;265390;
006150148;2018;HI;-752;
006150148;2018;HK;2423;
006150148;2018;HM;460646;
007150303;2016;DI;104477;
007150303;2016;FJ;11644277;
007150303;2016;HI;-477665;
007150303;2016;HM;8018848;
055804512;2016;DI;391889;
055804512;2016;FJ;15045363;
055804512;2016;HI;-20651;
055804512;2016;HK;68115;
055804512;2016;HM;9998592;
072501935;2018;DI;57309;
072501935;2018;FJ;1982347;
072501935;2018;HI;15101;
072501935;2018;HK;19697;
072501935;2018;HM;1289618;
095580239;2017;DI;-19887;
095580239;2017;FJ;5586369;
095580239;2017;HI;-1734;
095580239;2017;HM;3816369;
096310073;2018;DI;62496;
096310073;2018;FJ;654435;
096310073;2018;HI;-658;
096310073;2018;HK;16865;
096310073;2018;HM;606152;
300352770;2018;DI;746623;
300940186;2018;DI;251249;
300940186;2018;FJ;209920;
300940186;2018;HI;222863;
300940186;2018;HK;89917;
300940186;2018;HM;671697;
302179981;2017;DI;-1041661;
302179981;2017;FJ;103756;
302179981;2017;HI;-934147;
302179981;2017;HM;2377775;
302519525;2018;DI;282638;
302519525;2018;HI;293995;
302519525;2018;HM;11775440;
303321269;2017;DI;144323;
304349897;2017;DI;-134624;
304349897;2017;FJ;4157311;
304349897;2017;HI;336948;
304349897;2017;HM;4909009;
306386541;2018;DI;37281;
306606625;2018;DI;179483;
307391813;2017;290;780;
307391813;2017;310;-85084;
307559633;2017;DI;67786;
307559633;2017;FJ;10269894;
307559633;2017;HI;27212;
307559633;2017;HK;4096;
307559633;2017;HM;5182772;
308301548;2018;DI;-1534722;
308301548;2018;FJ;19666541;
308301548;2018;HI;-313096;
308301548;2018;HK;-218027;
308301548;2018;HM;15061166;
308799782;2017;DI;-308164;
309214476;2018;DI;814700;
309383438;2017;DI;109661;
309383438;2017;FJ;10958598;
309383438;2017;HI;15253;
309383438;2017;HK;-5867;
309383438;2017;HM;11189415;
309541951;2017;DI;303413;
309541951;2017;FJ;6669964;
309541951;2017;HI;-19408;
309541951;2017;HK;113945;
309541951;2017;HM;4364762;
309916427;2018;DI;111471;
310026000;2017;DI;305947;
310709779;2017;DI;140238;
310709779;2017;FJ;8983870;
310709779;2017;HJ;18503;
310709779;2017;HK;-68555;
310709779;2017;HM;5720325;
310809983;2018;DI;84470;
310809983;2018;FJ;3713224;
310809983;2018;HI;18220;
310809983;2018;HK;-6390;
310809983;2018;HM;7693614;
311832240;2017;DI;334425;
311832240;2017;FJ;62408020;
311832240;2017;HI;21312;
311832240;2017;HK;187613;
311832240;2017;HM;41224341;
312695620;2017;DI;61683;
312695620;2017;FJ;935171;
312695620;2017;HI;-4449;
312695620;2017;HM;1402848;
312816028;2017;DI;-119455;
312816028;2017;FJ;283610;
312816028;2017;HI;-3153;
